
"%s", "%s"
"ACL Attribute Rules", "ACL Prasme noteikumi"
"Customer Last Name", "Klientu Uzvārds"
"Customer Middle Name", "Klientu Otrais vārds"
"Customer Prefix", "Klientu Prefikss"
"Customer Suffix", "Klientu Sufikss"
"Default Image", "Noklusētais attēls"
"Delete", "Dzēst"
"Deny", "Aizliegt"
"Disable automatic group change based on VAT ID", "Atslēgt automātisko grupas maiņu, pamatojoties uz PVN ID"
"Discount", "Atlaide"
"Discount Amount", "Atlaide Summa"
"Discount Description", "Atlaide Apraksts"
"Edit", "Edit"
"Edit %s ACL attribute rules", "Rediģēt% s ACL atribūtika noteikumi"
"Edit Role", "Labot loma"
"Edit attribute rules for %s Role", "Rediģēt atribūtu noteikumus% loma"
"Email", "E"
"Enable Qty Increments", "Aktivizēt QTY soļos"
"Exclude", "Izslēgt"
"File Content", "File saturs"
"File MIME Type", "File MIME tips"
"File Name", "Faila nosaukums"
"Final Price With Tax", "Gala cena ar nodokli"
"Final Price Without Tax", "Gala Cena bez PVN"
"First Name", "Vārds"
"Gift Message", "Dāvanu Ziņu"
"Grand Total", "Pavisam kopā"
"Grand Total to Be Charged", "Pavisam kopā kas jāiekasē"
"Group", "Grupa"
"Guest", "Guest"
"Has Custom Options", "Vai papildus opcijas"
"ID", "ID"
"Inventory Data", "Inventarizācijas dati"
"Invoiced Qty", "Rēķinā Daudz"
"Is Confirmed", "Tiek apstiprināts"
"Is Default Billing Address", "Vai Default Norēķinu adrese"
"Is Default Shipping Address", "Vai Noklusējuma piegādes adrese"
"Item ID", "Vienība ID"
"Item Subtotal", "Vienība Starpsumma"
"Item Subtotal Including Tax", "Vienība Starpsumma Ieskaitot nodokli"
"Label", "Label"
"Last Logged In", "Pēdējā pieteikšanās"
"Last Name", "Uzvārds"
"Low Stock Date", "Zema akciju Datums"
"Manage Stock", "Pārvaldīt Stock"
"Maximum Qty Allowed in Shopping Cart", "Maksimālais Daudz mājdzīvniekiem iepirkumu grozā"
"Minimum Qty Allowed in Shopping Cart", "Minimālais Daudz mājdzīvniekiem iepirkumu grozā"
"New Role", "Jaunā loma"
"Notify for Quantity Below", "Paziņot par daudzumu, par"
"OAuth", "OAuth"
"Order", "Rīkojums"
"Order Addresses", "Kārtība adreses"
"Order Comments", "Kārtība Komentāri"
"Order Currency", "Pasūtījuma valūta"
"Order Date", "Pasūtījuma datums"
"Order ID", "Pasūtījuma ID"
"Order ID (internal)", "Pasūtījuma ID (iekšējā)"
"Order Item ID", "Pasūtījuma Vienības ID"
"Order Items", "Kārtība Items"
"Order Status", "Pasūtījuma statuss"
"Ordered Qty", "Sakārtots Daudz"
"Orders", "Pasūtījumi"
"Original Price", "Original Cena"
"Parent Order Item ID", "Mātes rīkojums Vienības ID"
"Payment Method", "Maksājumu veida"
"Phone Number", "Tālruņa numurs"
"Placed from IP", "Uzstādīts no IP"
"Please enter a valid number in ""max_sale_qty"" field", "Lūdzu, ievadiet derīgu numuru" "max_sale_qty" "laukā"
"Please enter a valid number in ""min_qty"" field", "Lūdzu, ievadiet derīgu numuru" "min_qty" "laukā"
"Please enter a valid number in ""min_sale_qty"" field", "Lūdzu, ievadiet derīgu numuru" "min_sale_qty" "laukā"
"Please enter a valid number in ""notify_stock_qty"" field", "Lūdzu, ievadiet derīgu numuru" "notify_stock_qty" "laukā"
"Please use numbers only in ""category_id"" field.", "Lūdzu, izmantojiet skaitļus tikai" "category_id" "lauks."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.", "Lūdzu, izmantojiet tikai skaitļus, kas" "qty_increments" "lauku Lūdzam novērst atstarpes vai citas rakstzīmes, piemēram, punktus vai komatus.".
"Position", "Pozīcija"
"Price", "Cena"
"Price Including Tax", "Cena Ieskaitot nodokli"
"Product", "Produkts"
"Product Category", "Produktu kategorija"
"Product ID", "Produkta ID"
"Product Image", "Preces attēls"
"Product Type", "Produktu veids"
"Product URL", "Preces URL"
"Product Website", "Mājaslapa"
"Product and Custom Options Name", "Produktu un papildus opcijas Vārds"
"Qty", "Daudz"
"Qty Increments", "Daudzums soļos"
"Qty Uses Decimals", "Daudz Izmanto decimāldaļu"
"Qty for Item's Status to Become Out of Stock", "Daudz par posteni statuss, lai kļūtu par pasūtījumu"
"REST - Attributes", "Atpūta - īpašības"
"REST - Roles", "Atpūta - Lomas"
"REST ACL Attributes", "Atpūta ACL īpašības"
"REST Attributes", "Atpūta īpašības"
"REST Role", "ATPŪTAS loma"
"REST Roles", "Atpūta Lomas"
"REST Roles Information", "ATPŪTAS Lomas informācija"
"Read", "Lasīt"
"Refunded Qty", "Atmaksāts Daudz"
"Regular Price With Tax", "Regulārā cena Ar nodokli"
"Regular Price Without Tax", "Regulāra Cena bez PVN"
"Rest Roles", "Atpūtas Lomas"
"Retrieve", "Retrieve"
"Role ""%s"" no longer exists", "Loma" "% s" "vairs nepastāv"
"Role ""%s"" not found.", "Loma" "% s" "nav atrasts."
"Role API Resources", "Loma API Resursi"
"Role Info", "Loma Info"
"Role Information", "Loma informācija"
"Role Name", "Loma Vārds"
"Role Users", "Lomu Lietotāji"
"Role has been deleted.", "Loma ir dzēsts."
"Roles", "Lomas"
"SKU", "SKU"
"Salability Status", "Salability statuss"
"Sales", "Sales"
"Save", "Saglabāt"
"Shipped Qty", "Piegādāti Daudz"
"Shipping Amount", "Piegādes Summa"
"Shipping Discount", "Piegādes Atlaide"
"Shipping Including Tax", "Piegādes Ieskaitot nodokli"
"Shipping Method", "Piegādes veids"
"Shipping Tax", "Piegādes nodokli"
"State", "Valsts"
"Stock Availability", "Noliktavā"
"Stock ID", "Preces ID"
"Stock Item", "Krājuma priekšmetu"
"Stock Status", "Krājumu stāvokli"
"Store Currency to Order Currency Rate", "Veikals Valūtas pasūtīt valūtas kursa"
"Store Name", "Veikala nosaukums"
"Street", "Iela"
"Subtotal", "Starpsumma"
"Subtotal Including Tax", "Starpsumma Ieskaitot nodokli"
"System", "Sistēma"
"Tax Amount", "Nodokļa summa"
"Tax Name", "Nodokļu Vārds"
"Tax Percent", "Nodokļu procentiem"
"Tax Rate", "Nodokļa likme"
"The ""enable_qty_increments"" field must be set to 0 or 1.", "" "Enable_qty_increments" "laukā jābūt iestatītam uz 0 vai 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.", "" "Is_decimal_divided" "laukā jābūt iestatītam uz 0 vai 1."
"The ""is_in_stock"" field must be set to 0 or 1.", "" "Is_in_stock" "laukā jābūt iestatītam uz 0 vai 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.", "" "Is_qty_decimal" "laukā jābūt iestatītam uz 0 vai 1."
"The ""is_qty_decimal"" field must be set to 0, "" "Is_qty_decimal" "lauks ir jāiestata uz 0
"The ""manage_stock"" field must be set to 0 or 1.", "" "Manage_stock" "laukā jābūt iestatītam uz 0 vai 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.", "" "Stock_status_changed_auto" "laukā jābūt iestatītam uz 0 vai 1."
"The ""use_config_backorders"" field must be set to 0 or 1.", "" "Use_config_backorders" "laukā jābūt iestatītam uz 0 vai 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.", "" "Use_config_enable_qty_inc" "laukā jābūt iestatītam uz 0 vai 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.", "" "Use_config_manage_stock" "laukā jābūt iestatītam uz 0 vai 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.", "" "Use_config_max_sale_qty" "laukā jābūt iestatītam uz 0 vai 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.", "" "Use_config_min_qty" "laukā jābūt iestatītam uz 0 vai 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.", "" "Use_config_min_sale_qty" "laukā jābūt iestatītam uz 0 vai 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.", "" "Use_config_notify_stock_qty" "laukā jābūt iestatītam uz 0 vai 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.", "" "Use_config_qty_increments" "laukā jābūt iestatītam uz 0 vai 1."
"The attribute rules were saved.", "Šo atribūtu noteikumi tika saglabāti."
"The role has been saved.", "Loma ir saglabāta."
"The role is a special one and not for assigning it to admin users.", "Uzdevums ir īpašs, nevis to piešķirt admin lietotājiem."
"Total Due", "Kopā saistības"
"Total Paid", "Kopējais apmaksātais"
"Total Refunded", "Kopā Atmaksāts"
"Total Reviews Count", "Kopā apskats Count"
"Type", "Tips"
"URL", "URL"
"Update", "Update"
"Use Config Settings for Allow Gift Message", "Izmantot Config uzstādījumi Atļaut Dāvanu Ziņu"
"Use Config Settings for Allow Gift Wrapping", "Izmantot Config uzstādījumi Atļaut Dāvanu saiņošana"
"Use Config Settings for Backorders", "Izmantot Config uzstādījumi backorders"
"Use Config Settings for Enable Qty Increments", "Izmantot Config uzstādījumi Enable Daudz soļos"
"Use Config Settings for Manage Stock", "Izmantot Config uzstādījumi Pārvaldīt krājums"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart", "Izmantot Config uzstādījumi Maksimālais Daudz Atļautā iepirkumu grozā"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart", "Izmantot Config uzstādījumi Minimālā Daudz Atļautā iepirkumu grozā"
"Use Config Settings for Notify for Quantity Below", "Izmantot Config uzstādījumi Paziņot par daudzumu, par"
"Use Config Settings for Qty Increments", "Izmantot Config uzstādījumi Daudz soļos"
"Use Config Settings for Qty for Item's Status to Become Out of Stock", "Izmantot Config uzstādījumi Daudz postenim statuss kļūt par pasūtījumu"
"User Type", "Lietotāja veids"
"User type ""%s"" no longer exists", "Lietotāja tips" "% s" "vairs nepastāv"
"User type ""%s"" not found.", "Lietotāja tips" "% s" "nav atrasts."
"Web Services", "Web Services"
"Web services", "Web Services"
"Write", "Rakstīt"
"ZIP/Postal Code", "ZIP / Postal"
