
"%s was added to your shopping cart.", "%s tika pievienots jūsu iepirkumu grozā."
"%s was updated in your shopping cart.", "%s tika atjaunināts jūsu iepirkumu grozā."
"* Required Fields", "* Obligātie lauki"
"Display number of items in cart", "Parādīt preču skaitu grozā"
"Display number of items in wishlist", "Parādīt preču skaitu vēlmju sarakstu"
"Easy access to your order history and status", "Viegla piekļuve jūsu pasūtījumu vēsturei un statusam"
"Edit", "Labot"
"Edit Address", "Labot adresi"
"Edit Billing Address", "Mainīt norēķinu adrese"
"Edit Condition", "Mainīt nosacījumus"
"Edit Items", "Mainīt preces"
"Edit Shipping Address", "Labot piegādes adresi"
"Edit Terms and Conditions", "Labot Noteikumi un nosacījumi"
"Edit Your Cart", "Mainīt iepirkuma grozu"
"Edit item", "Mainīt preci"
"Edit item parameters", "Mainīt preces parametrus"
"Email Address", "E-pasta adrese"
"Enable Onepage Checkout", "Aktivizēt samaksu ar Onepage"
"Enable Terms and Conditions", "Aktivizēt Noteikumi un nosacījumi"
"Enabled", "Ieslēgts"
"Enter a New Address", "Ievadiet jaunu adresi"
"Enter your coupon code if you have one.", "Ievadiet savu kupona kodu, ja jums tāds ir."
"Enter your destination to get a shipping estimate.", "Ievadiet adresi, lai aprēķinātu piegādes laiku."
"Estimate Shipping and Tax", "Noteikt piegādi un nodokli"
"Excl. Tax", "Bez zodokļa"
"Fast and easy check out", "Ātri un viegli apmaksāt"
"Fax", "Fakss"
"Forgot an Item?", "Aizmirsāt kādu preci?"
"Forgot your password?", "Aizmirsāt paroli?"
"Get a Quote", "Get Citēt"
"Get list of available payment methods", "Iegūt sarakstu pieejamām maksājumu metodām"
"Get list of available shipping methods", "Iegūt sarakstu ar pieejamajiem piegādes metodēm"
"Get list of products in shopping cart", "Apskatīt produktu sarakstu grozā"
"Get terms and conditions", "Apskatīt nosacījumus"
"Get total prices for shopping cart", "Apskatīt kopsummu grozā"
"Gift Message", "Dāvanas "
"Grand Total:", "Pavisam kopā:"
"Grouped Product Image", "Grupētu produktu attēls"
"HTML", "HTML"
"ID", "ID"
"Incl. Tax", "Iesk. nodokli"
"Invalid checkout type.", "Nepareizs apmaksas tips."
"Invalid data.", "Nepareizi dati."
"Invalid email address ""%s""", "Nepareiza e-pasta adrese" "% s" ""
"Invalid method: %s", "Nepareiza metode:% s"
"Invalid shipping method.", "Nepareizs piegādes veids."
"Item not found or already ordered", "Prece nav atrasta vai jau pasūtīta"
"Items", "Preces"
"Items After", "Preces pēc"
"Items Before", "Preces Pirms"
"Load customer quote error", "Parādīt klienta citāta kļūdu"
"Loading next step...", "Ielādējam nākamo sadaļu..."
"Login", "Pieteikšanās"
"Login/Registration Before", "Pieteikšanās / Reģistrācija pirms"
"Manage Terms and Conditions", "Apskatīt noteikumus un nosacījumus"
"Maximum Display Recently Added Item(s)", "Maksimālais neseno pievienoto preču daudzums"
"Maximum qty allowed for Shipping to multiple addresses is %s", "Maksimālais preču piegādes daudzums uz vairākām adresēm ir %s"
"Minimum order amount is %s", "Minimālais preču piegādes daudzums ir %s"
"Move", "Pārvietot"
"Move to Wishlist", "Ielikt vēlmju sarakstā"
"Multishipping Checkout", "Dalītās piegādes norēķini"
"Multishipping Checkout Address (Any) Form", "Dalītās piegādes adreses (jebkuras) forma"
"Multishipping Checkout Billing Address Creation", "Dalītās piegādes noformēšana"
"Multishipping Checkout Billing Address Edit Form", "Dalītās piegādes adreses norēķinu forma"
"Multishipping Checkout Billing Address Selection", "Dalītās piegādes norēķinu adreses izvēle"
"Multishipping Checkout Billing Information Step", "Dalītās piegādes norēķinu informācijas solis"
"Multishipping Checkout Customer Address Edit Form", "Dalītās piegādes klientu adrešu formas izmaiņas"
"Multishipping Checkout Overview", "Dalītās piegādes pārskats"
"Multishipping Checkout Shipping Address Creation", "Dalītās piegādes adrešu izveide"
"Multishipping Checkout Shipping Address Edit Form", "Dalītās piegādes adrešu forma"
"Multishipping Checkout Shipping Address Selection", "Dalītās piegādes adrešu izvēle"
"Multishipping Checkout Shipping Information Step", "Dalītās piegādes informācijas soļa noformēšana"
"Multishipping Checkout Success", "Multishipping Checkout Success"
"My Cart", "Mans grozs"
"My Cart (%s item)", "Mans grozs (%s vienība)"
"My Cart (%s items)", "Mans grozs (%s vienības)"
"My Cart Link", "Mans grozs Link"
"New Address", "Jauna adrese"
"New Condition", "Jauns stāvoklis"
"New Terms and Conditions", "Jaunie noteikumi"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER", "Kopsumma tiks parādīts pirms jūs iesniedzat pasūtījumu"
"One Page Checkout", "Apsmaksa ar OnePage"
"One Page Checkout Failure", "OnePage apmaksas kļūda"
"One Page Checkout Overview", "OnePage rēķina pārskats"
"One Page Checkout Success", "OnePage rēķins apmaksāts"
"One item of products do not have identifier or sku", "Vienas preces identifikators vai SKU neeksistē"
"One item of products is not belong any of quote item", "Viena no precēm neiederas preču sarakstā"
"Order #", "Pasūtīt #"
"Order Review", "Pasūtījuma pārskats"
"Order Success", "Rīkojums veiksmīgs"
"Order place error.", "Pasūtījuma vietas kļūda."
"Other Items in Your Order", "Citas preces jūsu pasūtījumā"
"Overview Items After", "Preču pārskats vēlāk"
"Password", "Parole"
"Payment Failed Email Reciever", "Neizdevās nosūtīt e-pastu"
"Payment Failed Email Sender", "Neizdevās nosūtīt e-pastu"
"Payment Failed Emails", "Neizdevās nosūtīt e-pastu"
"Payment Failed Template", "Kļūda e-pasta sagatavē"
"Payment Information", "Informācija par maksājumu"
"Payment Method", "Apmaksas veids"
"Payment Methods After Checkout Button", "Maksājumu metodes pēc samaksas poga"
"Payment Methods Before Checkout Button", "Maksājumu metode pirms samaksas poga"
"Payment method information", "Maksājuma metodes informācija"
"Payment method is not defined", "Maksājuma veids nav norādīts"
"Payment methods in shopping cart", "Maksājumu metode grozam"
"Payment profile # %s: ""%s"".", "Maksājumu profils # "%s:" "%s" ."
"Place Order", "Pasūtīt"
"Please agree to all Terms and Conditions before placing the order.", "Piekrītu visiem noteikumiem, pasūtot preci"
"Please agree to all Terms and Conditions before placing the orders.", "Piekrītu visiem noteikumiem, pasūtot preci"
"Please agree to all the terms and conditions before placing the order.", "Piekrītu visiem noteikumiem, pasūtot preci"
"Please check billing address information.", "Lūdzu, pārbaudiet norēķinu adresi"
"Please check shipping address information.", "Lūdzu, pārbaudiet piegādes adresi"
"Please check shipping addresses information.", "Lūdzu, pārbaudiet piegādes adresi"
"Please choose to register or to checkout as a guest", "Lūdzu izvēleties reģistrēties vai maksāt kā viesis"
"Please log in below:", "Lūdzu pieteikties zemāk:"
"Please select region, "Lūdzu, izvēlieties reģionu"
"Please select shipping address for applicable items", "Lūdzu, izvēlieties piegādes adresi precēm"
"Please select shipping methods for all addresses", "Lūdzu, izvēlieties piegādes veidu visām adresēm"
"Please select valid payment method.", "Lūdzu, izvēlieties derīgu maksājuma veidu."
"Please specify payment method.", "Lūdzu, norādiet maksājuma veidu."
"Please specify shipping method.", "Lūdzu, norādiet piegādes vidu."
"Please specify shipping methods for all addresses.", "Lūdzu, norādiet piegādes veidu visām adresēm."
"Price", "Cena"
"Proceed to Checkout", "Noformēt pirkumu"
"Product", "Prece"
"Product Name", "Nosaukums"
"Products", "Preces"
"Qty", "Daudzums"
"Qty:", "Daudzums"
"Quantity was recalculated from %d to %d", "Daudzums tiks pārrēķināts no %d līdz %d"
"Quote Lifetime (days)", "Noilgums (dienas)"
"Quote item does not exist.", "Prece neeksistē."
"Quote item is not found.", "Prece nav atrasta."
"Recently added item(s)", "Nesen pievienotās prece (s)"
"Register", "Reģistrācija"
"Register and save time!", "Reģistrējies un ietaupi laiku!"
"Register to Create an Account", "Reģistrēties, lai izveidotu kontu"
"Register with us for future convenience:", "Reģistrējies, nākotnes ērtībai:"
"Remove Item", "Noņemt preci"
"Remove This Item", "Dzēst šo preci"
"Remove coupon code from shopping cart", "Noņemt kupona kodu grozā"
"Remove item", "Noņemt preci"
"Remove product from shopping cart", "Izņemt preci no groza"
"Remove product(s) from shopping cart", "Izņemt preces no groza"
"Require Customer To Be Logged In To Checkout", "Klientam jābūt pieteikušamies lai noformētu pirkumu"
"Retrieve information about shopping cart", "Parādīt iepirkumu grozu"
"Review Order", "Pārskatīt grozu"
"Review Order - %s", "Pārskatīt grozu -%s"
"Sales", "Tirdzniecība"
"Save Condition", "Saglabāt stāvokli"
"Save in address book", "Saglabāt adrešu grāmatā"
"See price before order confirmation.", "Apskatīt cenu pirms pasūtījuma apstiprināšanas."
"Select Address", "Izvēlēties adrese"
"Select Addresses", "Izvēlēties adreses"
"Select Shipping Method", "Izvēlieties piegādes veidu"
"Select State/Province...", "Izvēlēties valsti"
"Select a billing address from your address book or enter a new address.", "Izvēlieties norēķinu adresi no adrešu grāmatas vai ievadiet jaunu adresi."
"Select a shipping address from your address book or enter a new address.", "Izvēlieties piegādes adresi no adrešu grāmatas vai ievadiet jaunu adresi."
"Send Payment Failed Email Copy Method", "E-pasta kopijas forma neizdevās"
"Send Payment Failed Email Copy To", "E-pasta kopijas forma neizdevās"
"Send To", "Sūtīt"
"Separate by", "Nošķirt"
"Set customer for shopping cart", "Pievienot pasūtītāju grozam"
"Set customer's addresses in shopping cart", "Pievienot pasūtītāju adreses grozam"
"Set payment method", "Izvēlēties maksājuma veidu"
"Set shipping method", "Izvēlēties piegādes veidu"
"Ship to Multiple Addresses", "Piegādāt uz vairākām adresēm"
"Ship to different address", "Piegādāt uz citu adresi"
"Ship to this address", "Piegādāt uz šo adresi"
"Shipping Address", "Piegādes adrese"
"Shipping Information", "Piegādes informācija"
"Shipping Method", "Piegādes veids"
"Shipping Methods", "Piegādes veidi"
"Shipping To", "Piegāde uz"
"Shipping information", "Piegādes informācija"
"Shipping method has not been selected yet", "Piegādes metode vēl nav izvēlēta"
"Shipping methods in shopping cart", "Piegādes metodes grozam"
"Shipping selection is not applicable.", "Piegādes izvēle nav iespējama."
"Shopping Cart", "Grozs"
"Shopping Cart Form Before", "Grozs pirms izmaiņām"
"Shopping Cart Sidebar", "Groza sānjosla"
"Shopping Cart Sidebar Extra Actions", "Groza sānjoslas Extra iespējas"
"Shopping Cart is Empty", "Iepirkumu grozs ir tukšs"
"Shopping cart ability to set coupon code", "Iepirkumu grozs spēja noteikt kupona kodu"
"Show Content as", "Parādīt saturu, kā"
"Some of the requested products are not available in the desired quantity.", "Daži no pieprasītajiem produktiem nav pieejami nepieciešamajā daudzumā."
"Some of the requested products are unavailable.", "Daži no pieprasītajiem produktiem ir pieejami."
"Some products quantities were recalculated because of quantity increment mismatch", "Dažu produktu daudzums tika pārrēķināts, jo daudzums neatbilda"
"Sorry, "Atvainojiet",
"State/Province", "Valsts"
"Status", "Statuss"
"Store View", "Veikala apskats"
"Street Address", "Adrese"
"Street Address %s", "Adrese %s"
"Submitting order information...", "Iesniedzu pasūtījuma informāciju..."
"Subtotal", "Starpsumma"
"Subtotal must exceed minimum order amount", "Starpsummai jāpārsniedz minimālā pasūtījuma summa"
"Telephone", "Tālrunis"
"Terms and Conditions", "Noteikumi un nosacījumi"
"Terms and Conditions Information", "Noteikumu informācija"
"Terms and conditions", "Noteikumi un nosacījumi"
"Text", "Teksts"
"Thank you for your purchase!", "Paldies par pirkumu!"
"The condition has been deleted", "Darijums ir dzēsts"
"The condition has been saved.", "Darijums ir saglabāts."
"The onepage checkout is disabled.", "Onepage darijums ir atslēgts."
"The product could not be found.", "Produkts nav atrasts."
"The product does not exist.", "Produkts neeksistē."
"There are <a href=""%s"">%s items</a> in your cart.", "Ir <a href=""%s"">%s priekšmeti </a> tavā grozā."
"There is <a href=""%s"">1 item</a> in your cart.", "Ir <a href=""%s""> 1 prece </ a> tavā grozā."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.", "Ir jau reģistrēts klients, izmantojot šo e-pasta adresi lūdzu ienāciet, izmantojot šo e-pasta adresi vai ievadiet citu e-pasta adresi, lai reģistrētos savu kontu.".
"There was an error processing your order. Please contact us or try again later.", "Tur bija kļūda, apstrādājot jūsu pasūtījumu, lūdzu, sazinieties ar mums vai mēģiniet vēlreiz vēlāk.".
"This condition no longer exists.", "Šis nosacījums vairs nepastāv."
"Total", "Kopā"
"Total for this address", "Kopā šajā adresē"
"Unable to set Payment Method.", "Nevar noteikt maksājumu veidu."
"Unit Price", "Vienības cena"
"Update Cart", "Atjaunināt grozs"
"Update Qty &amp; Addresses", "Atjaunināt Daudz &amp; adreses"
"Update Shopping Cart", "Atjaunināt Grozs"
"Update Total", "Atjaunināt Kopā"
"Update product quantities in shopping cart", "Atjaunināt produktu daudzumu iepirkumu grozā"
"Update product(s) quantities in shopping cart", "Atjaunināt produkta (-u) daudzums grozā"
"Use Billing Address", "Lietot norēķinu adrese"
"VAT Number", "PVN reģistrācijas numurs"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.", "Mēs apstrādājam jūsu pasūtījumu, un jūs drīz saņemsiet e-pastu ar informāciju par rīkojuma Kad pasūtījums ir nosūtīts jūs saņemsiet jaunu e-pastu ar saiti, lai sekotu tās attīstībai.".
"What's this?", "Kas tas ir?"
"You have no items in your shopping cart.", "Jūsu iepirkuma grozs ir tukšs."
"You will receive an order confirmation email with details of your order and a link to track its progress.", "Jūs saņemsiet pasūtījuma apstiprinājuma e-pastu ar informāciju par pasūtījumu un saiti, kur sekot līdzi pasūtījuma izpildei."
"Your cart items", "Jūsu groza saturs"
"Your Checkout Progress", "Jūsu Checkout Progress"
"Your billing agreement # is: %s.", "Jūsu norēķinu līgums # ir:% s."
"Your order # is: %s.", "Jūsu pasūtījums # ir:% s."
"Your order cannot be completed at this time as there is no payment methods available for it.", "Jūsu pasūtījums nevar tikt pabeigta, šajā laikā, jo nav maksājumu metodes pieejams par to."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.", "Jūsu pasūtījums šobrīd nav apstiprināts, jo piegādes veids nav pieejams.".
"Your order has been received.", "Jūsu pasūtījums ir pieņemts."
"Your order number is ", "Jūsu pirkuma numurs"
"Your recurring payment profiles:", "Jūsu iepriekšējais maksājumu profils:"
"Zip/Postal Code", "Pasta indekss"
