
"Abandoned Carts", "Abandoned ratiņi"
"Tag ""%s"" details", "Tag" "% s" "detaļas"
"Tag Detail", "Tag Detaļas"
"Tag Name", "Tag Vārds"
"Tag Use", "Tag Lietošana"
"Tags Submitted by %s", "Tagi Ievietots% s"
"Tags submitted to %s", "Tagi iesniegts% s"
"Tax", "Nodokļi"
"Title", "Nosaukums"
"To", "Lai"
"Total", "Kopā"
"Total Invoiced vs. Paid Report", "Kopā Rēķinā vs Samaksāts ziņojums"
"Total Ordered Report", "Kopā Sakārtots ziņojums"
"Total Refunded Report", "Kopā Atmaksāts ziņojums"
"Total Shipped Report", "Kopā piegādāti ziņojums"
"Total Tags", "Kopējie Birkas"
"Total invoiced", "Kopā rēķinā"
"Total refunded", "Kopā atmaksāts"
"Updated At", "Atjaunots Pie"
"Viewed Products Grid Template", "Skatīts produkti Grid veidne"
"Viewed Products List Template", "Skatīts Produktu saraksts veidne"
"Visible In", "Redzams"
"Wishlist Report", "Vēlmju ziņojums"
"Wishlist vs. Regular Order", "Vēlmju vs parastajā kārtībā"
"Wishlists", "Vēlmju"
"Year", "Gads"
"Year-To-Date Starts", "Gads-to-date Starts"
"Yes", "Jā"
"Your Recently Compared", "Jūsu Nesen Salīdzinot"
"Your Recently Viewed", "Nesen aplūkotie"
"undefined", "Nenoteikts"
