
"%s %s cycle.", "%s% s cikls."
"--Please Select--", "- Lūdzu izvēlieties -"
"Credit Card Types", "Credit Card veidi"
"Credit card number mismatch with credit card type.", "Kredītkartes numurs nesakritību ar kredītkartes veidu."
"Credit card type is not allowed for this payment method.", "Kredītkartes tips nav atļauts šo maksājuma veidu."
"Currency", "Valūta"
"Currency code is undefined.", "Valūtas kods ir nenoteikts."
"Customer ID is not set.", "Klienta ID nav noteikts."
"Day", "Diena"
"Debug Mode", "Debug Mode"
"Enabled", "Enabled"
"Expiration Date", "Beigu datums"
"Full name of the person receiving the product or service paid for by the recurring payment.", "Pilns nosaukums personas saņem preci vai pakalpojumu samaksāta ar regulāru maksājumu."
"Incorrect credit card expiration date.", "Nepareiza kredītkartes derīguma termiņš."
"Initial Fee", "Sākotnējā maksa"
"Initial non-recurring payment amount due immediately upon profile creation.", "Sākotnējā vienreizēju maksājumu summa uzreiz pēc profila izveides."
"Instructions", "Instrukcijas"
"Internal Reference ID", "Iekšējais atsauces ID"
"Invalid Credit Card Number", "Nepareiza Kredītkartes numurs"
"Issue Number", "Izdošanas numurs"
"Make Check Payable to", "Make Pārbaudiet Parādi"
"Make Check payable to:", "Make Pārbaudīt maksājamas:"
"Make Check payable to: %s", "Make Pārbaudīt jāmaksā:% s"
"Maximum Billing Cycles", "Maksimālais Norēķinu cikli"
"Maximum Order Total", "Maksimālais rīkojums Kopā"
"Maximum Payment Failures", "Maksimālais maksājums Neveiksmes"
"Maximum Trial Billing Cycles", "Maksimālais Trial Norēķinu cikli"
"Merchant ID", "Tirgotāja ID"
"Minimum Order Total", "Minimālais pasūtījuma Kopā"
"Month", "Mēnesis"
"N/A", "N / A"
"Name on Card", "Vārds uz kartes"
"Name on the Card", "Nosaukums uz Kartes"
"New Order Status", "Jaunā pasūtījuma statuss"
"Number of billing periods that make up one billing cycle.", "Skaits norēķinu periodu, kas veido vienu norēķinu ciklu."
"Order action is not available.", "Rīkojums darbība nav pieejama."
"Overrides API URL that may be specified by a payment method.", "Ignorē API URL, kas var būt norādījis maksājuma veidu."
"Password", "Parole"
"Payment Method", "Maksājumu veida"
"Payment Methods", "Maksājumu metodes"
"Payment Methods Section", "Maksājumu metodes sadaļa"
"Payment Reference ID", "Maksājumu identifikācijas"
"Payment Services", "Maksājumu pakalpojumi"
"Payment from Applicable Countries", "Maksājumu piemērojamajiem valstīs"
"Payment from Specific Countries", "Maksājumu no konkrētām valstīm"
"Payment method code is not set.", "Maksājuma metode kods nav noteikts."
"Payment method code is undefined.", "Maksājuma metode kods ir nenoteikts."
"Payment profile is invalid:n%s", "Maksājumu profils ir nederīgs: n% s"
"Period frequency is wrong.", "Periods frekvence ir nepareizi."
"Please enter a valid credit card verification number.", "Lūdzu, ievadiet derīgu kredītkartes verifikācijas numuru."
"Processor ID", "Procesoru ID"
"Purchase Order", "Pirkuma pasūtījuma"
"Purchase Order Number", "Pasūtījuma numurs"
"Purchase Order Number:", "Pirkuma pasūtījuma numuru:"
"Purchase Order Number: %s", "Pasūtījuma numurs:% s"
"Recurring Profile Start Date", "Periodiska profils Sākuma datums"
"Recurring profile start date has invalid format.", "Periodiska profila sākuma datums ir nederīgs formāts."
"Reference ID is not set.", "Atsauces ID nav noteikts."
"Refund action is not available.", "Kompensācijas darbība nav pieejama."
"Repeats %s time(s).", "Atkārtojas% s laiks (s)."
"Repeats until suspended or canceled.", "Atkārto līdz pārtraukta vai atcelta."
"Request Card Security Code", "Pieprasījums Kartes drošības kods"
"Saved CC", "Saglabātās CC"
"Schedule Description", "Programma Apraksts"
"Schedule description must be not empty.", "Kalendārs apraksts nedrīkst būt tukšs."
"Selected payment type is not allowed for billing country.", "Izvēlētais apmaksas veids nav atļauts norēķinu valsts."
"Send Check to", "Sūtīt Pārbaudiet"
"Send Check to:", "Sūtīt Pārbaudiet:"
"Severe 3D Secure Card Validation", "Smaga 3D Secure Card Validation"
"Severe validation removes chargeback liability on merchant.", "Smaga validācija noņem Reklamāciju atbildības par komersantu."
"Shipping Amount", "Piegādes Summa"
"Short description of the recurring payment. By default equals to the product name.", "Īss apraksts par atkārtotu maksājumu. Pēc noklusējuma ir vienāds ar produkta nosaukumu."
"Sort Order", "Kārtot rīkojums"
"Start Date", "Sākuma datums"
"Start date has invalid format.", "Sākuma datums ir nederīgs formāts."
"Start date is undefined.", "Sākuma datums ir nenoteikts."
"Subscriber Name", "Abonenta Vārds"
"Switch/Solo/Maestro Issue Number", "Slēdzis / Solo / Maestro izsniegšana skaits"
"Switch/Solo/Maestro Only", "Slēdzis / Solo / Maestro Tikai"
"Switch/Solo/Maestro Start Date", "Slēdzis / Solo / Maestro sākuma datums"
"Tax Amount", "Nodokļa summa"
"Test Mode", "Testa režīms"
"The date when billing for the profile begins.", "Datums, kad rēķinu par profila sākas."
"The number of billing cycles for payment period.", "Skaits norēķinu ciklu par maksājuma laiku."
"The number of scheduled payments that can fail before the profile is automatically suspended.", "Regulāras maksājumiem, kas var neizdoties, pirms profila numurs tiek automātiski apturēta."
"The payment review action is unavailable.", "Maksājumu pārskatīšana rīcība ir pieejams."
"The requested Payment Method is not available.", "Lūdza apmaksas veids nav pieejams."
"Title", "Nosaukums"
"Trial Billing Amount", "Trial Norēķinu Summa"
"Trial Billing Frequency", "Trial Norēķinu Frequency"
"Trial Billing Period Unit", "Izmēģinājuma Norēķinu periods vienība"
"Trial Period", "Pārbaudes laiku"
"Trial billing amount is wrong.", "Izmēģinājuma norēķinu summa ir nepareizi."
"Trial billing period unit is wrong.", "Izmēģinājuma norēķinu periods vienība ir nepareizi."
"Trial period frequency is wrong.", "Izmēģinājuma periods frekvence ir nepareizi."
"Trial period max cycles is wrong.", "Izmēģinājuma periods maks cikli ir nepareizi."
"Two Weeks", "Divas nedēļas"
"Unable to save Billing Agreement:", "Nevar saglabāt Norēķinu Līgumu:"
"Unit for billing during the subscription period.", "Vienība rēķinu parakstīšanās laika posmā."
"Unsupported currency code: %s.", "Neatbalstīta valūtas kods:% s."
"Void action is not available.", "Void darbība nav pieejama."
"Week", "Nedēļa"
"What is this?", "Kas tas ir?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.", "Vai apturēt maksājumu profilu, ja sākotnējā maksa neizdodas vai pievienot to nesamaksāto atlikumu."
"Wrong %s specified.", "Nepareiza% s noteiktā."
"Wrong or empty billing amount specified.", "Nepareiza vai tukša norēķinu norādītā summa."
"Year", "Gads"
"Zero Subtotal Checkout", "Nulles Starpsumma Pasūtīt"
