
"-OR-", "-VAI-"
"Add PayPal as an additional payment method to your checkout page.", "Pievienot PayPal kā papildu maksājumu metodi jūsu izrakstīšanās lapā."
"Add another payment method to your existing solution or as a stand-alone option.", "Pievienot citu maksājuma veidu, lai jūsu esošo risinājumu vai kā stand- alone iespēju."
"Additional Options", "Papildu opcijas"
"Address", "Adrese"
"Address Verification System Response", "Adrese pārbaude sistēmas rīcība"
"Advanced Settings", "Papildu iestatījumi"
"All the address information matched", "Visa adreses informācija saskaņota"
"Allow in Billing Agreement Wizard", "Atļaut Norēķinu nolīgums Wizard"
"Allowable values: ""paypal"", "Pieļaujamie vērtības:" "paypal" "
"Allowed Credit Card Types", "Atļauts Kredītkarte veidi"
"Also affects mini-shopping cart.", "Arī ietekmē mini-iepirkumu grozu."
"Ask Customer", "Jautājiet klientu"
"Attempted Authentication, "Mēģinājums autentifikācija
"Attempted Authentication, "Mēģinājums autentifikācija
"Auction Payment other than through eBay", "Izsoles Maksājumu izņemot caur eBay"
"Authenticated, "Autentificētais
"Authenticated, "Autentificētais
"Authorization", "Atļauja"
"Authorization Honor Period (days)", "Autorizācijas Honor periods (dienas)"
"Authorization transaction is required to void.", "Autorizācijas darījums ir nepieciešams anulēt."
"Authorized amount of %s.", "Atļautā summa% s."
"Authorizing amount of %s is pending approval on gateway.", "Atļauja daudzumu% s tiek gaidīts apstiprinājums par vārti."
"Auto", "Auto"
"AutoSweep", "AutoSweep"
"Available Balance", "Pieejamais atlikums"
"Balance Manager Account Bonus", "Bilance vadītājs konts Bonus"
"Basic Settings - PayPal Express Checkout", "Pamata iestatījumi - PayPal Express Checkout"
"Basic Settings - PayPal Integral Evolution", "Pamata iestatījumi - PayPal Integral Evolution"
"Basic Settings - PayPal Pasarela integral", "Pamata iestatījumi - PayPal Pasarela neatņemamas"
"Basic Settings - PayPal Payflow Link", "Pamata iestatījumi - PayPal Payflow Link"
"Basic Settings - PayPal Payflow Pro", "Pamata iestatījumi - PayPal Payflow Pro"
"Basic Settings - PayPal Payments Advanced", "Pamata iestatījumi - PayPal maksājumi Advanced"
"Basic Settings - PayPal Payments Pro", "Pamata iestatījumi - PayPal maksājumi Pro"
"Basic Settings - PayPal Payments Pro Hosted Solution", "Pamata iestatījumi - PayPal maksājumi Pro Hosted Solution"
"Basic Settings - PayPal Payments Standard", "Pamata iestatījumi - PayPal maksājumi Standard"
"Basic Settings - PayPal Pro", "Pamata iestatījumi - PayPal Pro"
"Basic Settings - PayPal Website Payments Plus", "Pamata iestatījumi - PayPal Website Maksājums Plus"
"Basic Settings - PayPal Website Payments Pro", "Pamata iestatījumi - PayPal Website Maksājums Pro"
"Basic Settings - PayPal Website Payments Pro Hosted Solution", "Pamata iestatījumi - PayPal Website Maksājums Pro Hosted Solution"
"Basic Settings - PayPal Website Payments Pro Payflow Edition", "Pamata iestatījumi - PayPal Website Maksājums Pro Payflow Edition"
"Basic Settings - PayPal Website Payments Standard", "Pamata iestatījumi - PayPal Website Maksājums Standard"
"Billing Address", "Norēķinu adrese"
"Billing Agreement Signup", "Norēķinu līgums Reģistrācija"
"Bonus for first ACH Use", "Bonus par pirmo ACH Use"
"Both section above must be complete. ", "Abi sadaļā iepriekš jābūt pilnīgam."
"Buyer Credit Payment", "Pircējs Credit maksājums"
"Buyer's Tax ID", "Pircēja Nodokļu ID"
"Buyer's Tax ID Type", "Pircēja Nodokļu ID tips"
"By default it is ""reports.paypal.com"".", "Pēc noklusējuma tas ir" "reports.paypal.com" "."
"CNPJ", "CNPJ"
"CPF", "CPF"
"CVV Entry is Editable", "CVV Entry ir Editable"
"CVV2 Check Result by PayPal", "CVV2 Pārbaudīt rezultāts ar PayPal"
"Can not send new order email.", "Nevar nosūtīt jaunu pasūtījumu e-pastu."
"Cannot create target file for reading reports.", "Nevar izveidot mērķa failu lasīšanai ziņojumus."
"Centinel API URL", "Centinel API URL"
"Centinel Custom API URL", "Centinel Custom API URL"
"Charge-off", "Maksa-off"
"Chargeback", "Reklamāciju"
"Chargeback by customer.", "Reklamāciju ar klientu."
"Checkout with PayPal", "Checkout ar PayPal"
"Choose a secure bundled payment solution for your business.", "Izvēlies drošu kompleksais maksājumu risinājumu Jūsu biznesam."
"City", "Pilsēta"
"Click here if you are not redirected within 10 seconds...", "Uzklikšķināt šeit, ja jūs neesat novirzīts 10 sekunžu laikā ..."
"Close", "Aizvērt"
"Company", "Kompānija"
"Completion Date", "Pabeigšanas datums"
"Configure", "Konfigurēt"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.", "Connect savu tirgotāja kontu ar PCI-compliant vārti, kas ļauj klientiem samaksāt neatstājot savu vietu."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.", "Pievienojiet savu tirgotāja kontu ar pilnībā pielāgojamu vārteju, kas ļauj klientiem samaksāt neatstājot savu vietu."
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?", "Savienojuma PayPal SFTP serveri, lai atnest jaunas atskaites Vai esat. Tiešām vēlaties turpināt?"
"Continue", "Turpināt"
"Countries Payment Applicable From", "Valstīm Maksājumu piemērojams no"
"Country", "Valsts"
"Coupon Redemption", "Kupona Atpirkšanas"
"Credit", "Credit"
"Credit Card Settings", "Credit Card uzstādījumi"
"Currency Conversion required to cover negative balance", "Valūtas konversijas nepieciešams, lai segtu negatīvo bilanci"
"Custom", "Custom"
"Custom Endpoint Hostname or IP-Address", "Custom Rezultāts Hostname vai IP adrese"
"Custom Path", "Custom Ceļš"
"Customer Information", "Klienta informācija"
"Customer complaint.", "Klientu sūdzību."
"Customer did not include a confirmed address.", "Klients nav iekļauts apstiprināta adresi."
"Customer triggered a money-back guarantee.", "Klientu izraisīja naudu atpakaļ garantiju."
"Daily", "Dienas"
"Debit", "Debets"
"Debit Card Cash Back", "Debetkarte Cash Back"
"Debit Card Transaction", "Debetkarti"
"Debit or Credit", "Debeta vai kredīta"
"Debug Mode", "Debug Mode"
"Direct Payment API", "Tiešais maksājums API"
"Discount", "Atlaide"
"Display Express Checkout in the Payment Information step", "Display Express Checkout Maksājumu informācijas solim"
"Displays on catalog pages and homepage.", "Parāda uz katalogu lapās un mājaslapā."
"Don't have a PayPal account? Simply enter your email address.", "Vai nav PayPal konta Vienkārši ievadiet savu e-pasta adresi.?"
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.", "Vai nav PayPal tirgotāja kontu Jūs joprojām varat pieņemt kredītkaršu maksājumus caur Payflow Pro Gateway.?"
"Dynamic", "Dynamic"
"EFT Funding (German banking)", "ELP Finansējums (Vācijas banku)"
"Edit Shopping Cart", "Labot Iepirkumu grozs"
"Email Address", "E-pasta adrese"
"Email Associated with PayPal Merchant Account", "E saistīts ar PayPal tirgotāja kontu"
"Email Associated with PayPal Merchant Account (Optional)", "E saistīts ar PayPal tirgotāja kontu (pēc izvēles)"
"Enable Automatic Fetching", "Aktivizēt automātisko Ienes"
"Enable Express Checkout", "Aktivizēt Express Checkout"
"Enable PayPal Guest Checkout", "Aktivizēt PayPal Klientu Checkout"
"Enable Payflow Link", "Aktivizēt Payflow Link"
"Enable SSL verification", "Aktivizēt SSL pārbaudi"
"Enable this Solution", "Ieslēdziet šo Solution"
"Enabled", "Enabled"
"Event", "Notikums"
"Event Code", "Pasākums kodekss"
"Every 10 days", "Ik pēc 10 dienām"
"Every 14 days", "Ik 14 dienas"
"Every 3 days", "Reizi 3 dienas"
"Every 30 days", "Ik pēc 30 dienām"
"Every 40 days", "Ik 40 dienas"
"Every 7 days", "Ik 7 dienas"
"Exact Match. Address and Postal Code. International", "Precīza atbilstība adrese un pasta indekss.. Starptautiskais"
"Exact Match. Address and Postal Code. UK-specific", "Precīza atbilstība adrese un pasta indekss.. AK-īpašs"
"Exact Match. Address and nine-digit ZIP code", "Precīza atbilstība. Adrese un deviņu ciparu ZIP kodu"
"Express Checkout", "Express Checkout"
"Express Checkout (Payflow Edition) Settings", "Express Checkout (Payflow Edition) uzstādījumi"
"Express Checkout APIs", "Express Checkout API"
"Express Checkout Settings", "Express Checkout iestatījumi"
"Express Checkout and Order have been canceled.", "Express Checkout un pasūtījumi ir atcelti."
"Express Checkout has been canceled.", "Express Checkout ir atcelts."
"Failed to fetch reports from '%s@%s'.", "Neizdevās iegūt ziņojumus no '% s @% s'."
"Fax", "Fakss"
"Fee Amount", "Maksa Summa"
"Fee Debit or Credit", "Maksa debeta vai kredīta"
"Fee Reversal", "Maksa atcelšana"
"Fee: Foreign ACH Withdrawal", "Maksa: Ārvalstu ACH Izstāšanās"
"Fee: Mass Pay Request", "Maksa: Masu Pay pieprasījums"
"Fee: Web Site Payments Pro Account Monthly", "Maksa: Web Site Maksājumi Pro konts Mēnesī"
"Fee: WorldLink Check Withdrawal", "Maksa: Worldlink Reģistrēšanās Izstāšanās"
"Fetch", "Fetch"
"Fetch Updates", "Fetch Updates"
"Fetched %s report rows from '%s@%s'.", "Atnesa% ziņojums rindas no"% s @% s '. "
"For Virtual Quotes Only", "Virtual cenām tikai"
"Frontend Experience Settings", "Frontend Pieredze uzstādījumi"
"Funding", "Finansējums"
"General (Authorization)", "General (autorizācija)"
"General (Dividend)", "General (dividendes)"
"General (Funds Transfer from PayPal Account to Another)", "Vispārīgi (naudas pārskaitījumi no PayPal konta uz citu)"
"General (Purchase with a credit card)", "General (pirkums ar kredītkarti)"
"General Adjustment without businessrelated event", "Vispārējā korekcija bez businessrelated pasākuma"
"General Currency Conversion", "Vispārējā Valūtas konversijas"
"General Funding of PayPal Account ", "Vispārējā finansējums PayPal kontā"
"General Redemption", "Vispārējā Atpirkšanas"
"General Withdrawal from PayPal Account", "Vispārējā Izstāšanās no PayPal kontā"
"General. Product no longer supported", "Vispārīgi. Produkts vairs netiek atbalstīta"
"General: Use of PayPal account for purchasing as well as receiving payments", "Vispārīgi: izmantošana PayPal kontā iegādei, kā arī saņem maksājumus"
"General: Withdrawal from PayPal Account", "Vispārīgi: Izstāšanās no PayPal kontā"
"General: Withdrawal to Non-Bank Entity", "Vispārīgi Izstāšanās uz nebanku Entity"
"General: adjustment of a type not belonging to the other T12xx categories", "Vispārīgi: korekcija tipa nepieder citām T12xx kategorijās"
"General: bonus of a type not belonging to the other T08xx categories", "Vispārīgi: prēmija tipa nepieder citām T08xx kategorijās"
"General: event not yet categorized", "Vispārīgi: notikums vēl nav klasificēts"
"General: non-payment fee of a type not belonging to the other T01xx categories", "Vispārīgi nemaksāšana maksa tipa nepieder citām T01xx kategorijās"
"General: received payment of a type not belonging to the other T00xx categories", "Vispārīgi: saņemts maksājums tāda veida, kas pieder otrai T00xx kategorijās"
"General: reversal of a type not belonging to the other T11xx categories", "Vispārīgi: pretdarbība ar tāda veida pieder citām T11xx kategorijās"
"General: temporary hold of a type not belonging to the other T15xx categories", "Vispārīgi: pagaidu aizturēšana tipa nepieder citām T15xx kategorijās"
"Get Credentials from PayPal", "Get akreditācijas vēstuli no PayPal"
"Gift Certificate Payment: purchase of Gift Certificate", "Dāvanu Apmaksa: iegāde Dāvanu"
"Gift Certificate Redemption", "Dāvanu Redemption"
"Gross Amount", "Bruto summa"
"Header Background Color", "Galvenes fona krāsa"
"Header Border Color", "Header Apmales krāsa"
"Header Image URL", "Header Attēla URL"
"Help", "Help"
"Hidden Virtual PayPal Debit Card Transaction", "Hidden Virtuālā PayPal debetkarti"
"Hold for Dispute Investigation", "Turiet Strīdu izmeklēšanas"
"IPN ""%s"".", "IPN" "% s" "."
"If empty, "Ja tukša
"If not specified, "Ja nav norādīts
"If this option is enabled, "Ja šī opcija ir iespējota
"If you do not have multiple users set up on your account, "Ja jums nav vairākiem lietotājiem izveidot savā kontā
"Impossible to issue a refund transaction because the capture transaction does not exist.", "Neiespējami izdot atmaksas darījumu, jo uztveršanas darījums neeksistē."
"Incentive", "Stimuls"
"Initiation Date", "Uzsākšana Datums"
"Integral Evolution", "Neatņemama Evolution"
"Integral Evolution Settings", "Integral Evolution uzstādījumi"
"Invoice ID", "Rēķins ID"
"Issuer Liability", "Emitents Atbildība"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.", "Tas ir ieteicams noteikt šo vērtību" "debetkarti vai kredītkarti" "par veikala viedokli."
"It is recommended to set this value to ""PayPal"" per store views.", "Tas ir ieteicams noteikt šo vērtību" "PayPal" "par veikala viedokli."
"Items in Your Shopping Cart", "Preces Jūsu iepirkumu grozā"
"Last Correlation ID", "Pēdējā Korelācija ID"
"Last Transaction ID", "Pēdējā Darījuma ID"
"Learn More", "Uzzini vairāk"
"Login", "Pieteikšanās"
"Looking for PayPal? We have our own tab to the left under Sales.", "Meklēju PayPal Mums ir? Mūsu pašu cilni pa kreisi zem Sales".
"Mass Pay Payment", "Masu Pay maksājums"
"Matched (CVV2)", "Saskaņots (CVV2)"
"Matched (CVV2CSC)", "Saskaņots (CVV2CSC)"
"Matched Address only (no ZIP)", "Saskaņots Adrese tikai (ne ZIP)"
"Matched Address only (no ZIP). International", "Saskaņots Adrese tikai (ne ZIP). Starptautiskais"
"Matched Postal Code only (no Address)", "Saskaņots Postal tikai (ne adrese)"
"Matched five-digit ZIP only (no Address)", "Saskaņots piecu ciparu pasta tikai (ne adrese)"
"Matched whole nine-didgit ZIP (no Address)", "Saskaņots visa deviņu didgit ZIP (ne adrese)"
"Merchant Account", "Tirgoņa konts"
"Merchant Country", "Komersants Valsts"
"Merchant Liability", "Komersants Atbildība"
"Merchant Location", "Komersants Location"
"Merchant Protection Eligibility", "Komersants aizsardzība Tiesības"
"Merchant Referral Bonus", "Komersants Ieteikuma atlīdzības"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.", "Tirgotājs tur nav ASV kontu un nav mehānisms izņemšanai."
"Merchant reference ID format is not supported.", "Komersants atskaites ID formāts netiek atbalstīta."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.", "Tirgotājiem nepieciešams piemērot PayPal tam, lai norēķinu līgumi funkciju Neļauj šo iespēju līdz PayPal apstiprina, ka norēķinu līgumus ļāva savam tirgotāja kontu.".
"Mobile Payment (made via a mobile phone)", "Mobilo maksājumu (izgatavots, izmantojot mobilo tālruni)"
"N/A", "N / A"
"N/A. Address not checked, "N / A Adrese nav pārbaudīta
"N/A. Global Unavailable", "N / A Global nav pieejams"
"N/A. International Unavailable", "N / A. Starptautiskā nav pieejams"
"N/A. Merchant has indicated that CVV2 is not present on card", "N / A Tirgotāju ir norādījusi, ka CVV2 nav uz kartes"
"N/A. No response", "N / A Nav atbildes"
"N/A. Not allowed for MOTO (Internet/Phone) transactions", "N / A Nav atļauts MOTO (Internets / telefons) darījumiem"
"N/A. Not processed", "N / A Nav apstrādāti"
"N/A. Retry", "N / A Atkārtot"
"N/A. Service not Supported", "N / A serviss nav atbalstīts"
"N/A. Service not available", "N / A serviss nav pieejams"
"N/A. Service not supported", "N / A Service nav atbalstīta"
"N/A. The merchant did not provide AVS information", "N / A komersants nesniedza AVS informāciju"
"N/A. The merchant has not implemented CVV2 code handling", "N / A komersants nav īstenots CVV2 kodu apstrādi"
"N/A. Unavailable", "N / A nav pieejams"
"Negative Balance", "Negatīvs Bilance"
"Never", "Nekad"
"No", "Nē"
"No Details matched", "Nav informācija saskaņota"
"No Details matched. International", "Nav saskaņotās detaļas. International"
"No Liability Shift", "Atteikšanās no atbildības Shift"
"No Logo", "No Logo"
"No match", "Sakritības"
"None of the address information matched", "Neviens no adreses informāciju saskaņota"
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.", "Nav skaidrs, ko PayPal maksājumu metodi izmantot? Noklikšķiniet <a href=""%s"" target=""_blank""> šeit </ a>, lai uzzinātu vairāk."
"Note: %s", "Piezīme:% s"
"Nothing to fetch because of an empty configuration.", "Nekas atnest jo tukšu konfigurāciju."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.", "Ievērojiet, ka PayPal var apstrādāt līdz pat 10 kuģošanas iespējām Tāpēc Magento nodos tikai pirmās 10 lētākās nosūtīšanas iespējas, ja ir vairāk nekā 10 pieejams.".
"Notified customer about creditmemo #%s.", "Paziņota klientam par creditmemo #% s."
"Notified customer about invoice #%s.", "Paziņota klientam par rēķinu #% s."
"Now accepting PayPal (150 X 40)", "Tagad akceptējot PayPal (150 x 40)"
"Now accepting PayPal (150 X 60)", "Tagad akceptējot PayPal (150 x 60)"
"Number of Child Authorizations", "Skaits bērnu atļaujām"
"Open Authorization", "Atvērt Autorizācijas"
"Order", "Rīkojums"
"Order ID", "Pasūtījuma ID"
"Order Valid Period (days)", "Pasūtījuma Derīgs periods (dienas)"
"Ordered amount of %s.", "Sakārtots summu% s."
"Ordering amount of %s is pending approval on gateway.", "Pasūtīšana daudzumu% s tiek gaidīts apstiprinājums par vārti."
"Page Background Color", "Lapa Fona krāsa"
"Page Style", "Lapa Stils"
"Part of the address information matched", "Daļa no adreses informāciju saskaņota"
"Partner", "Partner"
"Pasarela integral", "Pasarela neatņemama"
"Pasarela integral Settings", "Pasarela neatņemamas uzstādījumi"
"Password", "Parole"
"Pay Now", "Pay Now"
"PayPal", "PayPal"
"PayPal Balance Manager function of PayPal account", "PayPal bilance vadītājs funkcija PayPal kontā"
"PayPal Billing Agreement Settings", "PayPal norēķinu līgums uzstādījumi"
"PayPal Buyer Warranty Bonus", "PayPal Pircējs Garantijas Bonus"
"PayPal Debit Card Cash Advance", "PayPal debetkarte avansu"
"PayPal Debit Card Withdrawal from ATM", "PayPal debetkarte izņemšana no bankomāta"
"PayPal Express Checkout", "PayPal Express Pasūtīt"
"PayPal Express Checkout Shortcut Wrapper", "PayPal Express Noformēt Ātrais apvalks"
"PayPal Express Checkout Token does not exist.", "PayPal Express Noformēt talons nav."
"PayPal Express Checkout is not enabled.", "PayPal Express Noformēt nav aktivizēts."
"PayPal Express Order Review Form", "PayPal Express pasūtījuma pārskata forma"
"PayPal Fee Information", "PayPal maksa Informācijas"
"PayPal Merchant Pages Style", "PayPal Tirgotāju Lapas stils"
"PayPal Payment Gateways", "PayPal maksājumu vārti"
"PayPal Payment Solutions", "PayPal Maksājumu risinājumi"
"PayPal Pro", "PayPal Pro"
"PayPal Product Logo", "PayPal produktu logotips"
"PayPal Protection Bonus", "PayPal aizsardzība Bonus"
"PayPal Reference ID", "PayPal identifikācijas"
"PayPal Reference ID Type", "PayPal identifikācijas veids"
"PayPal Settlement Reports", "PayPal norēķinu ziņojumi"
"PayPal certificate does not exist.", "PayPal sertifikāts neeksistē."
"PayPal certificate file is empty.", "PayPal sertifikāta fails ir tukšs."
"PayPal does not support processing orders with zero amount. To complete your purchase, "PayPal neatbalsta apstrādes pasūtījumus ar nulles summu. Lai pabeigtu pirkumu
"PayPal gateway has rejected request. %s", "PayPal vārti ir noraidījusi lūgumu% s."
"PayPal recommends that you set up an additional User on your account at manager.paypal.com", "PayPal iesaka izveidot papildu lietotājs savā kontā manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, "PayPal iesaka izveidot papildu lietotājs uz savu kontu manager.paypal.com
"PayPal response hasn't required fields.", "PayPal atbilde nav nepieciešama laukus."
"PayPal retains reports for 45 days.", "PayPal saglabā ziņojumus par 45 dienām."
"PayPal/Centinel Electronic Commerce Indicator", "PayPal / Centinel Elektroniskā komercija indikators"
"PayPal/Centinel Visa Payer Authentication Service Result", "PayPal / Centinel Visa Maksātājs autentifikācijas pakalpojumu rezultāts"
"Payer Address ID", "Maksātājs Adrese ID"
"Payer Address Status", "Maksātājs Adrese statuss"
"Payer Email", "Maksātājs Nosūtīt"
"Payer ID", "Maksātājs ID"
"Payer Status", "Maksātājs statuss"
"Payer is not identified.", "Maksātājs nav identificēts."
"Payflow Link", "Payflow Link"
"Payflow Link (Includes Express Checkout)", "Payflow Saite (Ieskaitot Express Checkout)"
"Payflow Pro", "Payflow Pro"
"Payflow Pro (Includes Express Checkout)", "Payflow Pro (Ieskaitot Express Checkout)"
"Payflow Pro and Express Checkout", "Payflow Pro un Express Pasūtīt"
"Payment Action", "Maksājumu darbība"
"Payment Applicable From", "Maksājumu piemērojams no"
"Payment Refund initiated by merchant", "Maksājumu atmaksāšana uzsāka komersanta"
"Payment has been declined. Please try again.", "Maksājums ir noraidīts. Lūdzu, mēģiniet vēlreiz."
"Payment transactions disallow storing objects.", "Maksājumu darījumi neatļaut uzglabāšanas objektiem."
"Payments Advanced", "Maksājumi Advanced"
"Payments Advanced (Includes Express Checkout)", "Maksājumi Advanced (Ieskaitot Express Checkout)"
"Payments Pro (Includes Express Checkout)", "Maksājumi Pro (Ieskaitot Express Checkout)"
"Payments Pro Hosted Solution", "Maksājumi PRO Hosted Solution"
"Payments Pro and Express Checkout", "Maksājumi Pro un Express Pasūtīt"
"Payments Standard", "Maksājumi Standard"
"Payments by PayPal (150 X 40)", "Maksājumi ar PayPal (150 x 40)"
"Payments by PayPal (150 X 60)", "Maksājumi ar PayPal (150 x 60)"
"Pending PayPal", "Kamēr PayPal"
"Place Order", "Vieta rīkojums"
"Please agree to all the terms and conditions before placing the order.", "Lūdzu piekrīt visiem noteikumiem un nosacījumiem pirms pasūtījuma."
"Please do not refresh the page until you complete payment.", "Lūdzu, atsvaidziniet lapu, kamēr jūs pabeigt maksājumu."
"Please re-enable the previously enabled payment solutions.", "Lūdzu atkārtoti iespējot iepriekš ļāva maksājumu risinājumus."
"Please select a shipping method...", "Lūdzu, izvēlieties piegādes veidu ..."
"Please select region, "Lūdzu, izvēlieties reģionu
"Please update order data to get shipping methods and rates", "Lūdzu, atjauniniet datu kārtību, lai saņemtu kuģu metodes un likmes"
"Points Incentive Redemption", "Punkti Incentive Redemption"
"Postage Payment to either USPS or UPS", "Pasta Maksājumu nu USPS vai UPS"
"Preapproved Payment (BillUser API), "Preapproved Maksājumu (BillUser API)
"Preapproved Payment ID", "Preapproved Maksājuma ID"
"Price", "Cena"
"Pro", "Pro"
"Process payments using your own internet merchant account.", "Apstrādāt maksājumus, izmantojot savu interneta tirgotāja kontu."
"Product Name", "Nosaukums"
"Proxy Host", "Proxy Host"
"Proxy Port", "Proxy Port"
"Qty", "Daudz"
"Reauthorization", "Reauthorization"
"Reference Information", "Atsauces informācija"
"Refund issued by merchant.", "Atmaksas izsniedz komersantam."
"Reimbursement for a chargeback.", "Atlīdzība par maksājuma atdošanu."
"Reimbursement of Chargeback", "Atlīdzināšana Reklamāciju"
"Report Date", "Ziņojums Datums"
"Reports", "Ziņojumi"
"Require CVV Entry", "Pieprasīt CVV Entry"
"Require Customer's Billing Address", "Pieprasīt Klienta Norēķinu adrese"
"Required PayPal Settings", "Nepieciešamie PayPal uzstādījumi"
"Required Settings", "Nepieciešamie iestatījumi"
"Reversal", "Atcelšana"
"Reversal of General Account Hold", "Atcelšana kopējā kontā Hold"
"Reversal of Points Usage", "Atcelšana Points Usage"
"Reversal of an adjustment.", "Atcelšana korekciju."
"Reversal of hold for Dispute Investigation", "Atcelšana aiztur Strīdu izmeklēšanas"
"Review Order", "Pārskats rīkojums"
"Reward Voucher Redemption", "Balvu kuponu Redemption"
"SFTP Credentials", "SFTP Credentials"
"Sale", "Tirdzniecība"
"Sales", "Sales"
"Same as shipping", "Tāpat kā kuģošanai"
"Sandbox Credentials", "Sandbox Credentials"
"Sandbox Mode", "Sandbox Mode"
"Schedule", "Kalendārs"
"Schedule description is too long.", "Kalendārs apraksts ir pārāk garš."
"Scheduled Fetching", "Plānotais Ienese"
"Select a Payment Solution", "Izvēlieties maksājumu risinājumu"
"Send Email Confirmation", "Sūtīt e-pasta apstiprinājumu"
"Server Error. Please try again.", "Servera kļūda, lūdzu, mēģiniet vēlreiz.".
"Settlement Consolidation", "Norēķinu Konsolidācija"
"Settlement Report Settings", "Norēķinu Report Settings"
"Settlement of a chargeback.", "Norēķini par maksājuma atdošanu."
"Severe 3D Secure Card Validation", "Smaga 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant", "Smaga validācija Noņem Reklamāciju atbildības par Tirgotāja"
"Severe validation removes chargeback liability on merchant.", "Smaga validācija noņem Reklamāciju atbildības par komersantu."
"Shipping", "Piegādes"
"Shipping Address", "Piegādes adrese"
"Shipping Method", "Piegādes veids"
"Shop now using (150 X 40)", "Veikals tagad izmanto (150 x 40)"
"Shop now using (150 X 60)", "Veikals tagad izmanto (150 x 60)"
"Shortcut", "Ātrais"
"Shortcut Buttons Flavor", "Ātrais Pogas aromāts"
"Shortcut on Product View", "Ātrais par produktu View"
"Shortcut on Shopping Cart", "Ātrais par grozam"
"Sign a billing agreement to streamline further purchases with PayPal.", "Parakstīšana norēķinu vienošanos, lai pilnveidotu turpmākos pirkumus ar PayPal."
"Solo", "Solo"
"Some PayPal solutions conflict.", "Daži PayPal risinājumi konflikts."
"Sorry, "Atvainojiet
"Sort Order", "Kārtot rīkojums"
